Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Tab Angle (deg),Angular Position (deg)
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,3.113044982042178007e-06,1.000000000000000056e-01,0.000000000000000000e+00
2.500000000000000052e-03,9.988416931170723823e-03,1.255370004369053480e-02,6.228191046364434082e-06,1.000000000000000056e-01,0.000000000000000000e+00
5.000000000000000104e-03,1.005026686577177066e-02,9.917803995733909250e-02,9.360219035644753316e-06,1.000000000000000056e-01,0.000000000000000000e+00
7.499999999999999722e-03,1.037073080896642324e-02,2.598807721099445356e-01,1.255899377474762857e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.000000000000000021e-02,1.113951757246272635e-02,4.772269400804665107e-01,1.590436297535006917e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.250000000000000069e-02,1.246262510410682013e-02,7.148768705257525502e-01,1.949716393073660663e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.500000000000000118e-02,1.439095360188901059e-02,9.706212233791828847e-01,2.345321376513920313e-05,1.000000000000000056e-01,0.000000000000000000e+00
1.750000000000000167e-02,1.696564083339689721e-02,1.233561276660058326e+00,2.788712952482079287e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.000000000000000042e-02,2.020023716856505017e-02,1.501009424874662379e+00,3.291831838721977910e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.249999999999999917e-02,2.410601312726106185e-02,1.772966175614055340e+00,3.867183978570878304e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.499999999999999792e-02,2.869424049788180456e-02,2.049432030077482203e+00,4.527823598552651230e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.749999999999999667e-02,3.397619232821005170e-02,2.330407497088617941e+00,5.287441252644664612e-05,1.000000000000000056e-01,0.000000000000000000e+00
2.999999999999999542e-02,3.996386431891021940e-02,2.613102639703915209e+00,6.158116530786383858e-05,1.000000000000000056e-01,7.861871339419211391e-06
3.249999999999999417e-02,4.665585810079274365e-02,2.891702310474372428e+00,7.150312266611204607e-05,1.000000000000000056e-01,1.701098851790891126e-05
3.499999999999999639e-02,5.404193426229042529e-02,3.166044499232792742e+00,8.273885457023400056e-05,1.000000000000000056e-01,2.762459403660157776e-05
3.749999999999999861e-02,6.211144838569011839e-02,3.436127941188862778e+00,9.538148761586591191e-05,1.000000000000000056e-01,3.989387286371150480e-05
4.000000000000000083e-02,7.085375291494333538e-02,3.701951413963519677e+00,1.095187872159570979e-04,1.000000000000000056e-01,5.402317541359933023e-05
4.250000000000000305e-02,8.025819725780447556e-02,3.963513731919884542e+00,1.252332420081280406e-04,1.000000000000000056e-01,7.022925236074183597e-05
4.500000000000000527e-02,9.031412787508505402e-02,4.220813740330685349e+00,1.426021461553434984e-04,1.000000000000000056e-01,8.874050147410737777e-05
4.750000000000000749e-02,1.010108883555327491e-01,4.473850311304755856e+00,1.616976830184231855e-04,1.000000000000000056e-01,1.097962262835062866e-04
5.000000000000000971e-02,1.123378194809988434e-01,4.722622340252218720e+00,1.825870071791252738e-04,1.000000000000000056e-01,1.336459066752285197e-04
5.250000000000001193e-02,1.242842592831177040e-01,4.967214370009013891e+00,2.053354933282824793e-04,1.000000000000000056e-01,1.605484050440467191e-04
5.500000000000001416e-02,1.368404333860752942e-01,5.210723697594875858e+00,2.300335285289002360e-04,1.000000000000000056e-01,1.907732852759655678e-04
5.750000000000001638e-02,1.500056100561203976e-01,5.454636908575678511e+00,2.567769265166030862e-04,1.000000000000000056e-01,1.907732852759655678e-04
6.000000000000001860e-02,1.637807989463860026e-01,5.698953904988902863e+00,2.856619763648122839e-04,1.000000000000000056e-01,1.907732852759655678e-04
6.250000000000001388e-02,1.781670094684647265e-01,5.943674594071862494e+00,3.167854377861029796e-04,1.000000000000000056e-01,1.907732852759655678e-04
6.500000000000001610e-02,1.931652508033269156e-01,6.188798885886007461e+00,3.502445346765664116e-04,1.000000000000000056e-01,2.372491424643922574e-04
6.750000000000001832e-02,2.087765319084513571e-01,6.434326693260680408e+00,3.861369558810532699e-04,1.000000000000000056e-01,2.885973113418162351e-04
7.000000000000002054e-02,2.250018615244291087e-01,6.680257936798702723e+00,4.245608544357356391e-04,1.000000000000000056e-01,3.451695349494600970e-04
7.250000000000002276e-02,2.418422482226310066e-01,6.926592580804832089e+00,4.656148490787362934e-04,1.000000000000000056e-01,4.073316309111496927e-04
7.500000000000002498e-02,2.592987005149108293e-01,7.173330625175855069e+00,5.093980249345457382e-04,1.000000000000000056e-01,4.754635580712981285e-04
7.750000000000002720e-02,2.773722269003675578e-01,7.420472064699879411e+00,5.560099335431068542e-04,1.000000000000000056e-01,5.499594833932132994e-04
8.000000000000002942e-02,2.960638358567763140e-01,7.668016884779101261e+00,6.055505944596495296e-04,1.000000000000000056e-01,6.312278487809329548e-04
8.250000000000003164e-02,3.153745358208554506e-01,7.915965061436052608e+00,6.581204952342919372e-04,1.000000000000000056e-01,7.196914380975097175e-04
8.500000000000003386e-02,3.353053351647839464e-01,8.164316562201420879e+00,7.138205918994718112e-04,1.000000000000000056e-01,8.157874442396045216e-04
8.750000000000003608e-02,3.558572421747717707e-01,8.413071346306649545e+00,7.727523115278752503e-04,1.000000000000000056e-01,9.199675363783313409e-04
8.999999999999999667e-02,3.770312650314605052e-01,8.662229366251436247e+00,8.350177458157869142e-04,1.000000000000000056e-01,1.032697870229085579e-03
9.249999999999999889e-02,3.988284376637482587e-01,8.912204602196416303e+00,9.007276042555648933e-04,1.000000000000000056e-01,1.154459684984679262e-03
9.500000000000000111e-02,4.212512473178778860e-01,9.163411133420611421e+00,9.699970846869554767e-04,1.000000000000000056e-01,1.285750112568199554e-03
9.750000000000000333e-02,4.443027722842027294e-01,9.415849052986976275e+00,1.042942837855240310e-03,1.000000000000000056e-01,1.427082833229918095e-03
1.000000000000000056e-01,4.679860910823284148e-01,9.669518447891151780e+00,1.119682972247360627e-03,1.000000000000000056e-01,1.578988283481915812e-03
1.025000000000000078e-01,4.923042824459008537e-01,9.924419398776315404e+00,1.200337053827946979e-03,1.000000000000000056e-01,1.742013864949280974e-03
1.050000000000000100e-01,5.172604253077922598e-01,1.018055198267416905e+01,1.285026124497084393e-03,1.000000000000000056e-01,1.916724154559274092e-03
1.075000000000000122e-01,5.428575987898741628e-01,1.043791626963870200e+01,1.373872708945745582e-03,1.000000000000000056e-01,2.103701115551569970e-03
1.100000000000000006e-01,5.690988821865854419e-01,1.069651232536440411e+01,1.467000346735812576e-03,1.000000000000000056e-01,2.303544457408073474e-03
1.125000000000000028e-01,5.959873003551354742e-01,1.095546642127140480e+01,1.564512971069727991e-03,1.000000000000000056e-01,2.516870481560667689e-03
1.150000000000000050e-01,6.235228108949977255e-01,1.121390461220034496e+01,1.666505862876352601e-03,1.000000000000000056e-01,2.744310387575150598e-03
1.175000000000000072e-01,6.517041238915034507e-01,1.147182663054262264e+01,1.773073683108822773e-03,1.000000000000000056e-01,2.986509003763290065e-03
1.200000000000000094e-01,6.805299487609005604e-01,1.172923220822742252e+01,1.884310477231188313e-03,1.000000000000000056e-01,3.244124697663876896e-03
1.225000000000000117e-01,7.099989941097483159e-01,1.198612081195349255e+01,2.000309660017080514e-03,1.000000000000000056e-01,3.517829285988301712e-03
1.250000000000000000e-01,7.401099671088492427e-01,1.224249185976030141e+01,2.121164019624240636e-03,1.000000000000000056e-01,3.808307944762587098e-03
1.275000000000000022e-01,7.708615737399461265e-01,1.249834505158305653e+01,2.246965644576738412e-03,1.000000000000000056e-01,4.116259119287019215e-03
1.300000000000000044e-01,8.022525191947723622e-01,1.275368007610832422e+01,2.377805059725585785e-03,1.000000000000000056e-01,4.442394402337272556e-03
1.325000000000000067e-01,8.342813713116238317e-01,1.300873483585984403e+01,2.513784346785879770e-03,1.000000000000000056e-01,4.787438646769575160e-03
1.350000000000000089e-01,8.669481899957421911e-01,1.326447503045068999e+01,2.655020118827830077e-03,1.000000000000000056e-01,5.152132080487254254e-03
1.375000000000000111e-01,9.002548089766739814e-01,1.352100767220352928e+01,2.801631187276363861e-03,1.000000000000000056e-01,5.537231515292346216e-03
1.400000000000000133e-01,9.342032093352989897e-01,1.377833269643765135e+01,2.953737317109926975e-03,1.000000000000000056e-01,5.943510808622806674e-03
1.425000000000000155e-01,9.687953719892022919e-01,1.403645003565824290e+01,3.111459142425604743e-03,1.000000000000000056e-01,6.371760999923160515e-03
1.450000000000000178e-01,1.004033277685662640e+00,1.429535961959765089e+01,3.274918337622362719e-03,1.000000000000000056e-01,6.822790447868670553e-03
1.475000000000000200e-01,1.039918906994740100e+00,1.455506137525226329e+01,3.444237550540102388e-03,1.000000000000000056e-01,7.297424967441214216e-03
1.500000000000000222e-01,1.076454240302455068e+00,1.481555522691523663e+01,3.619540282008560251e-03,1.000000000000000056e-01,7.796507967014294424e-03
